2.274813473852010104e-01,1.333052126239859525e-01,1.933901945397830530e-02,1.341098113419109984e-02,1.305917500240362690e-02,1.340825830559750145e-02,1.858035538793871566e-02,1.376177229712915451e-01,2.265136862566640430e-01,1.972842414787482623e-01
1.419236363212843521e-01,2.233873912784118121e-01,4.339294119358669960e-02,2.199122723372326851e-02,1.975513136628124361e-02,2.197322233565600358e-02,4.194369451736673637e-02,2.174313603902805481e-01,1.424380893964635741e-01,1.257633059669458209e-01
6.191672077147822306e-02,8.302699616202330324e-02,2.395901319560419518e-01,6.519651542643493947e-02,4.991155497078635095e-02,6.506360974103944650e-02,2.343839539107644698e-01,8.158847505791809451e-02,6.206178309382776037e-02,5.726025890968540477e-02
2.485120900176528841e-02,2.714400036890995613e-02,3.733537359702917419e-02,3.041490775021291615e-01,1.897386728508911047e-01,3.030547985737193639e-01,3.758292033715887603e-02,2.700166645975092539e-02,2.486870859052401836e-02,2.427357271812205161e-02
1.996721969189567750e-02,1.996721969189567750e-02,1.996721969189567750e-02,2.290975850140573866e-01,4.010523283749705126e-01,2.300795487677022300e-01,1.996721969189567750e-02,1.996721969189567750e-02,1.996721969189567750e-02,1.996721969189567750e-02
2.477928354046486994e-02,2.705005016306438054e-02,3.712978880524400727e-02,3.031426503830869645e-01,1.903725524622886245e-01,3.042385655818653500e-01,3.737438065559680472e-02,2.690912063343210703e-02,2.479661998892218611e-02,2.420698778603469492e-02
6.130477096431397738e-02,8.203126312437623857e-02,2.349000351903724193e-01,6.621971528627283721e-02,5.058708079252872275e-02,6.608364933866481272e-02,2.400793302483881786e-01,8.062023698371204028e-02,6.144735420968955308e-02,5.672656386168118542e-02
1.446233025281703222e-01,2.164445445016172087e-01,4.142269017826211847e-02,2.133134576319512671e-02,1.924136584153432472e-02,2.131455110171775330e-02,4.002688520141502171e-02,2.224281764223940416e-01,1.451523155267564202e-01,1.280148229349377387e-01
2.262802857453976857e-01,1.338365791666610571e-01,1.946936583365858550e-02,1.346169739824827974e-02,1.309864392203485134e-02,1.345888646946471687e-02,1.870665056288473710e-02,1.381600377906141985e-01,2.272455752298890019e-01,1.962822778811468827e-01
2.156037005014223018e-01,1.230239501883788056e-01,1.621026776548744469e-02,1.246547857074191239e-02,1.246547857074191239e-02,1.246547857074191239e-02,1.554330996176858139e-02,1.272055494037565015e-01,2.146409563691192846e-01,2.503758300978413120e-01
