client,cohort,value
c1,0,6
c2,0,2
c3,0,6
c4,0,16
c5,0,43
c6,0,23
c7,0,2
c8,0,12
c9,0,19
c10,0,5
c11,0,9
c12,0,31
c13,0,8
c14,0,6
c15,0,30
c16,0,3
c17,0,10
c18,0,40
c19,0,13
c20,0,14
c21,0,26
c22,0,30
c23,0,13
c24,0,14
c25,0,12
c26,0,48
c27,0,17
c28,0,6
c29,0,6
c30,0,21
c31,0,7
c32,0,100
c33,0,5
c34,0,7
c35,0,46
c36,0,11
c37,0,63
c38,0,3
c39,0,20
c40,0,37
c41,0,3
c42,0,10
c43,0,37
c44,0,32
c45,0,8
c46,0,38
c47,0,82
c48,0,5
c49,0,34
c50,0,18
c51,0,32
c52,0,6
c53,0,56
c54,0,28
c55,0,7
c56,0,25
c57,0,59
c58,0,6
c59,0,31
c60,0,13
c61,0,17
c62,0,5
c63,0,3
c64,0,38
c65,0,34
c66,0,1
c67,0,16
c68,0,3
c69,0,8
c70,0,5
c71,0,14
c72,0,9
c73,0,2
c74,0,37
c75,0,6
c76,0,11
c77,0,2
c78,0,14
c79,0,20
c80,0,21
c81,0,12
c82,0,4
c83,0,1
c84,0,6
c85,0,29
c86,0,50
c87,0,1
c88,0,44
c89,0,14
c90,0,39
c91,0,23
c92,0,24
c93,0,8
c94,0,49
c95,0,3
c96,0,8
c97,0,7
c98,0,14
c99,0,1
c100,0,29
c101,0,3
c102,0,75
c103,0,13
c104,0,6
c105,0,39
c106,0,23
c107,0,51
c108,0,37
c109,0,3
c110,0,3
c111,0,4
c112,0,67
c113,0,7
c114,0,6
c115,0,12
c116,0,2
c117,0,5
c118,0,15
c119,0,17
c120,0,8
c121,0,34
c122,0,14
c123,0,11
c124,0,22
c125,0,9
c126,0,7
c127,0,17
c128,0,33
c129,0,8
c130,0,1
c131,0,12
c132,0,57
c133,0,19
c134,0,1
c135,0,2
c136,0,6
c137,0,54
c138,0,16
c139,0,13
c140,0,36
c141,0,11
c142,0,1
c143,0,2
c144,0,28
c145,0,5
c146,0,17
c147,0,9
c148,0,22
c149,0,27
c150,0,1
c151,0,21
c152,0,3
c153,0,5
c154,0,22
c155,0,13
c156,0,20
c157,0,6
c158,0,29
c159,0,33
c160,0,1
c161,0,14
c162,0,18
c163,0,3
c164,0,52
c165,0,9
c166,0,27
c167,0,2
c168,0,69
c169,0,34
c170,0,12
c171,0,10
c172,0,6
c173,0,3
c174,0,15
c175,0,10
c176,0,4
c177,0,22
c178,0,3
c179,0,21
c180,0,20
c181,0,11
c182,0,34
c183,0,7
c184,0,11
c185,0,17
c186,0,10
c187,0,2
c188,0,9
c189,0,64
c190,0,28
c191,0,9
c192,0,44
c193,0,26
c194,0,5
c195,0,35
c196,0,12
c197,0,40
c198,0,9
c199,0,1
c200,0,9
c201,0,4
c202,0,13
c203,0,36
c204,0,13
c205,0,31
c206,0,20
c207,0,4
c208,0,25
c209,0,5
c210,0,2
c211,0,29
c212,0,10
c213,0,2
c214,0,67
c215,0,3
c216,0,14
c217,0,27
c218,0,10
c219,0,51
c220,0,17
c221,0,1
c222,0,6
c223,0,35
c224,0,19
c225,0,8
c226,0,18
c227,0,58
c228,0,2
c229,0,23
c230,0,11
c231,0,25
c232,0,8
c233,0,3
c234,0,13
c235,0,22
c236,0,17
c237,0,11
c238,0,13
c239,0,4
c240,0,2
c241,0,2
c242,0,2
c243,0,12
c244,0,1
c245,0,14
c246,0,1
c247,0,5
c248,0,3
c249,0,1
c250,0,29
c251,0,19
c252,0,18
c253,0,26
c254,0,29
c255,0,17
c256,0,4
c257,0,76
c258,0,26
c259,0,21
c260,0,38
c261,0,82
c262,0,6
c263,0,28
c264,0,2
c265,0,1
c266,0,6
c267,0,18
c268,0,42
c269,0,15
c270,0,8
c271,0,11
c272,0,8
c273,0,22
c274,0,10
c275,0,24
c276,0,12
c277,0,66
c278,0,3
c279,0,61
c280,0,4
c281,0,70
c282,0,63
c283,0,5
c284,0,30
c285,0,6
c286,0,31
c287,0,68
c288,0,23
c289,0,4
c290,0,17
c291,0,4
c292,0,28
c293,0,3
c294,0,45
c295,0,20
c296,0,10
c297,0,26
c298,0,7
c299,0,1
c300,0,6
c301,0,6
c302,0,5
c303,0,8
c304,0,7
c305,0,12
c306,0,3
c307,0,15
c308,0,84
c309,0,28
c310,0,36
c311,0,6
c312,0,9
c313,0,16
c314,0,36
c315,0,19
c316,0,13
c317,0,54
c318,0,32
c319,0,16
c320,0,5
c321,0,9
c322,0,2
c323,0,11
c324,0,32
c325,0,21
c326,0,44
c327,0,23
c328,0,78
c329,0,30
c330,0,34
c331,0,61
c332,0,14
c333,0,13
c334,0,41
c335,0,56
c336,0,14
c337,0,17
c338,0,11
c339,0,6
c340,0,1
c341,0,13
c342,0,27
c343,0,15
c344,0,2
c345,0,19
c346,0,99
c347,0,9
c348,0,32
c349,0,13
c350,0,11
c351,0,1
c352,0,19
c353,0,2
c354,0,1
c355,0,35
c356,0,28
c357,0,8
c358,0,42
c359,0,6
c360,0,56
c361,0,15
c362,0,2
c363,0,25
c364,0,8
c365,0,1
c366,0,9
c367,0,8
c368,0,39
c369,0,6
c370,0,8
c371,0,11
c372,0,11
c373,0,5
c374,0,24
c375,0,5
c376,0,15
c377,0,23
c378,0,6
c379,0,23
c380,0,4
c381,0,47
c382,0,34
c383,0,23
c384,0,7
c385,0,1
c386,0,4
c387,0,46
c388,0,16
c389,0,16
c390,0,50
c391,0,6
c392,0,19
c393,0,20
c394,0,1
c395,0,55
c396,0,31
c397,0,18
c398,0,10
c399,0,4
c400,0,9
c401,0,3
c402,0,15
c403,0,12
c404,0,11
c405,0,19
c406,0,41
c407,0,3
c408,0,23
c409,0,32
c410,0,8
c411,0,7
c412,0,17
c413,0,19
c414,0,59
c415,0,8
c416,0,26
c417,0,2
c418,0,37
c419,0,14
c420,0,8
c421,0,3
c422,0,15
c423,0,3
c424,0,7
c425,0,37
c426,0,39
c427,0,5
c428,0,58
c429,0,11
c430,0,10
c431,0,31
c432,0,6
c433,0,21
c434,0,21
c435,0,12
c436,0,39
c437,0,10
c438,0,25
c439,0,27
c440,0,11
c441,0,20
c442,0,20
c443,0,45
c444,0,21
c445,0,7
c446,0,4
c447,0,55
c448,0,42
c449,0,2
c450,0,11
c451,0,46
c452,0,8
c453,0,7
c454,0,18
c455,0,14
c456,0,33
c457,0,1
c458,0,28
c459,0,16
c460,0,17
c461,0,3
c462,0,21
c463,0,6
c464,0,21
c465,0,15
c466,0,3
c467,0,25
c468,0,39
c469,0,45
c470,0,7
c471,0,22
c472,0,5
c473,0,5
c474,0,6
c475,0,5
c476,0,6
c477,0,5
c478,0,11
c479,0,18
c480,0,9
c481,0,10
c482,0,4
c483,0,16
c484,0,4
c485,0,48
c486,0,6
c487,0,6
c488,0,1
c489,0,1
c490,0,55
c491,0,5
c492,0,21
c493,0,33
c494,0,12
c495,0,33
c496,0,16
c497,0,3
c498,0,23
c499,0,17
c500,0,6
c501,0,14
c502,0,24
c503,0,5
c504,0,27
c505,0,8
c506,0,4
c507,0,1
c508,0,2
c509,0,14
c510,0,10
c511,0,26
c512,0,1
c513,0,36
c514,0,29
c515,0,23
c516,0,74
c517,0,11
c518,0,5
c519,0,7
c520,0,3
c521,0,2
c522,0,23
c523,0,34
c524,0,3
c525,0,25
c526,0,20
c527,0,42
c528,0,19
c529,0,20
c530,0,20
c531,0,4
c532,0,39
c533,0,66
c534,0,29
c535,0,37
c536,0,65
c537,0,53
c538,0,3
c539,0,3
c540,0,70
c541,0,23
c542,0,38
c543,0,4
c544,0,32
c545,0,17
c546,0,11
c547,0,5
c548,0,4
c549,0,6
c550,0,26
c551,0,9
c552,0,16
c553,0,76
c554,0,39
c555,0,4
c556,0,13
c557,0,14
c558,0,18
c559,0,32
c560,0,12
c561,0,2
c562,0,8
c563,0,16
c564,0,5
c565,0,9
c566,0,17
c567,0,5
c568,0,9
c569,0,7
c570,0,5
c571,0,41
c572,0,11
c573,0,8
c574,0,54
c575,0,28
c576,0,6
c577,0,9
c578,0,13
c579,0,13
c580,0,5
c581,0,37
c582,0,23
c583,0,15
c584,0,5
c585,0,1
c586,0,10
c587,0,19
c588,0,30
c589,0,14
c590,0,11
c591,0,22
c592,0,10
c593,0,51
c594,0,19
c595,0,1
c596,0,23
c597,0,46
c598,0,3
c599,0,19
c600,0,28
c601,0,7
c602,0,8
c603,0,46
c604,0,13
c605,0,1
c606,0,32
c607,0,4
c608,0,26
c609,0,14
c610,0,16
c611,0,40
c612,0,22
c613,0,13
c614,0,30
c615,0,3
c616,0,5
c617,0,5
c618,0,13
c619,0,5
c620,0,16
c621,0,4
c622,0,12
c623,0,18
c624,0,6
c625,0,30
c626,0,34
c627,0,15
c628,0,6
c629,0,3
c630,0,17
c631,0,8
c632,0,43
c633,0,30
c634,0,27
c635,0,26
c636,0,17
c637,0,1
c638,0,50
c639,0,8
c640,0,35
c641,0,11
c642,0,25
c643,0,28
c644,0,27
c645,0,36
c646,0,53
c647,0,47
c648,0,39
c649,0,13
c650,0,21
c651,0,6
c652,0,15
c653,0,25
c654,0,8
c655,0,50
c656,0,35
c657,0,11
c658,0,13
c659,0,26
c660,0,5
c661,0,15
c662,0,1
c663,0,18
c664,0,28
c665,0,3
c666,0,22
c667,0,24
c668,0,1
c669,0,45
c670,0,29
c671,0,38
c672,0,80
c673,0,17
c674,0,18
c675,0,2
c676,0,16
c677,0,15
c678,0,8
c679,0,3
c680,0,25
c681,0,27
c682,0,62
c683,0,60
c684,0,11
c685,0,7
c686,0,1
c687,0,37
c688,0,35
c689,0,18
c690,0,10
c691,0,70
c692,0,11
c693,0,7
c694,0,9
c695,0,3
c696,0,22
c697,0,11
c698,0,13
c699,0,4
c700,0,29
c701,0,3
c702,0,4
c703,0,2
c704,0,24
c705,0,18
c706,0,13
c707,0,23
c708,0,17
c709,0,14
c710,0,6
c711,0,3
c712,0,22
c713,0,32
c714,0,4
c715,0,4
c716,0,31
c717,0,58
c718,0,10
c719,0,24
c720,0,18
c721,0,67
c722,0,34
c723,0,24
c724,0,29
c725,0,3
c726,0,17
c727,0,30
c728,0,5
c729,0,11
c730,0,58
c731,0,9
c732,0,16
c733,0,16
c734,0,7
c735,0,7
c736,0,23
c737,0,16
c738,0,18
c739,0,5
c740,0,18
c741,0,4
c742,0,4
c743,0,15
c744,0,2
c745,0,33
c746,0,12
c747,0,22
c748,0,48
c749,0,7
c750,0,48
c751,0,36
c752,0,2
c753,0,37
c754,0,48
c755,0,10
c756,0,34
c757,0,11
c758,0,32
c759,0,26
c760,0,34
c761,0,15
c762,0,34
c763,0,1
c764,0,58
c765,0,6
c766,0,26
c767,0,27
c768,0,1
c769,0,34
c770,0,3
c771,0,50
c772,0,1
c773,0,34
c774,0,20
c775,0,1
c776,0,22
c777,0,18
c778,0,42
c779,0,17
c780,0,2
c781,0,40
c782,0,16
c783,0,27
c784,0,5
c785,0,12
c786,0,2
c787,0,37
c788,0,3
c789,0,12
c790,0,35
c791,0,65
c792,0,6
c793,0,8
c794,0,7
c795,0,23
c796,0,10
c797,0,8
c798,0,16
c799,0,11
c800,0,7
c801,0,88
c802,0,39
c803,0,12
c804,0,8
c805,0,1
c806,0,16
c807,0,1
c808,0,8
c809,0,53
c810,0,21
c811,0,12
c812,0,2
c813,0,22
c814,0,47
c815,0,9
c816,0,5
c817,0,13
c818,0,15
c819,0,46
c820,0,27
c821,0,6
c822,0,14
c823,0,12
c824,0,1
c825,0,88
c826,0,30
c827,0,10
c828,0,1
c829,0,20
c830,0,40
c831,0,65
c832,0,3
c833,0,14
c834,0,34
c835,0,10
c836,0,3
c837,0,54
c838,0,4
c839,0,10
c840,0,39
c841,0,1
c842,0,19
c843,0,11
c844,0,4
c845,0,48
c846,0,25
c847,0,53
c848,0,66
c849,0,10
c850,0,27
c851,0,11
c852,0,12
c853,0,1
c854,0,9
c855,0,14
c856,0,56
c857,0,3
c858,0,49
c859,0,20
c860,0,83
c861,0,40
c862,0,44
c863,0,38
c864,0,9
c865,0,3
c866,0,19
c867,0,23
c868,0,6
c869,0,24
c870,0,20
c871,0,42
c872,0,33
c873,0,4
c874,0,10
c875,0,6
c876,0,9
c877,0,39
c878,0,3
c879,0,9
c880,0,48
c881,0,21
c882,0,17
c883,0,48
c884,0,6
c885,0,15
c886,0,13
c887,0,8
c888,0,28
c889,0,5
c890,0,38
c891,0,3
c892,0,12
c893,0,78
c894,0,4
c895,0,5
c896,0,14
c897,0,1
c898,0,6
c899,0,29
c900,0,1
c901,0,6
c902,0,12
c903,0,2
c904,0,12
c905,0,1
c906,0,1
c907,0,16
c908,0,4
c909,0,1
c910,0,7
c911,0,29
c912,0,8
c913,0,21
c914,0,9
c915,0,4
c916,0,12
c917,0,10
c918,0,33
c919,0,2
c920,0,2
c921,0,3
c922,0,29
c923,0,22
c924,0,16
c925,0,32
c926,0,6
c927,0,11
c928,0,25
c929,0,55
c930,0,23
c931,0,11
c932,0,24
c933,0,89
c934,0,63
c935,0,52
c936,0,36
c937,0,1
c938,0,1
c939,0,22
c940,0,8
c941,0,64
c942,0,21
c943,0,39
c944,0,10
c945,0,25
c946,0,53
c947,0,1
c948,0,44
c949,0,15
c950,0,5
c951,0,31
c952,0,20
c953,0,11
c954,0,30
c955,0,32
c956,0,4
c957,0,13
c958,0,56
c959,0,10
c960,0,24
c961,0,10
c962,0,3
c963,0,26
c964,0,5
c965,0,19
c966,0,8
c967,0,5
c968,0,39
c969,0,10
c970,0,30
c971,0,4
c972,0,46
c973,0,8
c974,0,92
c975,0,27
c976,0,26
c977,0,24
c978,0,13
c979,0,13
c980,0,24
c981,0,3
c982,0,1
c983,0,20
c984,0,5
c985,0,11
c986,0,18
c987,0,37
c988,0,7
c989,0,27
c990,0,7
c991,0,42
c992,0,36
c993,0,13
c994,0,1
c995,0,8
c996,0,4
c997,0,4
c998,0,3
c999,0,23
c1000,0,1
c1001,0,2
c1002,0,27
c1003,0,15
c1004,0,25
c1005,0,12
c1006,0,26
c1007,0,12
c1008,0,7
c1009,0,43
c1010,0,16
c1011,0,7
c1012,0,4
c1013,0,8
c1014,0,44
c1015,0,10
c1016,0,45
c1017,0,2
c1018,0,17
c1019,0,16
c1020,0,24
c1021,0,29
c1022,0,1
c1023,0,33
c1024,0,26
c1025,0,3
c1026,0,54
c1027,0,10
c1028,0,16
c1029,0,23
c1030,0,32
c1031,0,3
c1032,0,46
c1033,0,56
c1034,0,20
c1035,0,11
c1036,0,26
c1037,0,78
c1038,0,12
c1039,0,39
c1040,0,15
c1041,0,45
c1042,0,15
c1043,0,36
c1044,0,6
c1045,0,6
c1046,0,34
c1047,0,5
c1048,0,5
c1049,0,10
c1050,0,1
c1051,0,3
c1052,0,5
c1053,0,21
c1054,0,20
c1055,0,15
c1056,0,13
c1057,0,24
c1058,0,10
c1059,0,33
c1060,0,5
c1061,0,30
c1062,0,1
c1063,0,14
c1064,0,12
c1065,0,11
c1066,0,32
c1067,0,9
c1068,0,9
c1069,0,8
c1070,0,6
c1071,0,29
c1072,0,16
c1073,0,50
c1074,0,45
c1075,0,29
c1076,0,83
c1077,0,14
c1078,0,11
c1079,0,20
c1080,0,6
c1081,0,31
c1082,0,12
c1083,0,10
c1084,0,7
c1085,0,3
c1086,0,18
c1087,0,2
c1088,0,15
c1089,0,1
c1090,0,30
c1091,0,32
c1092,0,10
c1093,0,18
c1094,0,23
c1095,0,19
c1096,0,13
c1097,0,6
c1098,0,24
c1099,0,11
c1100,0,20
c1101,0,32
c1102,0,3
c1103,0,29
c1104,0,17
c1105,0,3
c1106,0,70
c1107,0,20
c1108,0,8
c1109,0,15
c1110,0,5
c1111,0,25
c1112,0,25
c1113,0,26
c1114,0,29
c1115,0,14
c1116,0,4
c1117,0,13
c1118,0,1
c1119,0,17
c1120,0,3
c1121,0,9
c1122,0,2
c1123,0,12
c1124,0,27
c1125,0,22
c1126,0,7
c1127,0,31
c1128,0,40
c1129,0,8
c1130,0,6
c1131,0,84
c1132,0,57
c1133,0,4
c1134,0,22
c1135,0,23
c1136,0,84
c1137,0,13
c1138,0,40
c1139,0,24
c1140,0,2
c1141,0,9
c1142,0,19
c1143,0,37
c1144,0,4
c1145,0,56
c1146,0,8
c1147,0,23
c1148,0,5
c1149,0,20
c1150,0,27
c1151,0,11
c1152,0,66
c1153,0,27
c1154,0,20
c1155,0,50
c1156,0,18
c1157,0,8
c1158,0,10
c1159,0,33
c1160,0,7
c1161,0,19
c1162,0,14
c1163,0,18
c1164,0,6
c1165,0,9
c1166,0,4
c1167,0,19
c1168,0,18
c1169,0,9
c1170,0,10
c1171,0,3
c1172,0,17
c1173,0,2
c1174,0,54
c1175,0,15
c1176,0,9
c1177,0,24
c1178,0,14
c1179,0,23
c1180,0,1
c1181,0,15
c1182,0,15
c1183,0,7
c1184,0,3
c1185,0,7
c1186,0,1
c1187,0,24
c1188,0,16
c1189,0,64
c1190,0,11
c1191,0,22
c1192,0,18
c1193,0,1
c1194,0,10
c1195,0,13
c1196,0,57
c1197,0,8
c1198,0,12
c1199,0,10
c1200,0,43
c1201,0,34
c1202,0,11
c1203,0,18
c1204,0,71
c1205,0,22
c1206,0,7
c1207,0,15
c1208,0,11
c1209,0,4
c1210,0,14
c1211,0,8
c1212,0,37
c1213,0,20
c1214,0,11
c1215,0,22
c1216,0,22
c1217,0,3
c1218,0,13
c1219,0,3
c1220,0,8
c1221,0,8
c1222,0,2
c1223,0,20
c1224,0,12
c1225,0,11
c1226,0,15
c1227,0,3
c1228,0,8
c1229,0,29
c1230,0,11
c1231,0,6
c1232,0,12
c1233,0,19
c1234,0,6
c1235,0,3
c1236,0,13
c1237,0,12
c1238,0,11
c1239,0,14
c1240,0,12
c1241,0,1
c1242,0,33
c1243,0,45
c1244,0,68
c1245,0,3
c1246,0,9
c1247,0,32
c1248,0,3
c1249,0,8
c1250,0,22
c1251,0,16
c1252,0,12
c1253,0,6
c1254,0,9
c1255,0,23
c1256,0,5
c1257,0,13
c1258,0,11
c1259,0,2
c1260,0,53
c1261,0,25
c1262,0,3
c1263,0,9
c1264,0,4
c1265,0,8
c1266,0,13
c1267,0,9
c1268,0,3
c1269,0,5
c1270,0,12
c1271,0,24
c1272,0,12
c1273,0,3
c1274,0,20
c1275,0,41
c1276,0,16
c1277,0,1
c1278,0,9
c1279,0,54
c1280,0,8
c1281,0,69
c1282,0,2
c1283,0,23
c1284,0,19
c1285,0,39
c1286,0,22
c1287,0,4
c1288,0,27
c1289,0,11
c1290,0,52
c1291,0,12
c1292,0,12
c1293,0,14
c1294,0,19
c1295,0,28
c1296,0,55
c1297,0,7
c1298,0,2
c1299,0,8
c1300,0,6
c1301,0,44
c1302,0,59
c1303,0,15
c1304,0,11
c1305,0,65
c1306,0,13
c1307,0,17
c1308,0,16
c1309,0,20
c1310,0,5
c1311,0,11
c1312,0,23
c1313,0,18
c1314,0,51
c1315,0,27
c1316,0,2
c1317,0,22
c1318,0,22
c1319,0,3
c1320,0,24
c1321,0,7
c1322,0,34
c1323,0,62
c1324,0,65
c1325,0,19
c1326,0,12
c1327,0,16
c1328,0,22
c1329,0,5
c1330,0,41
c1331,0,2
c1332,0,5
c1333,0,3
c1334,0,4
c1335,0,31
c1336,0,3
c1337,0,15
c1338,0,46
c1339,0,6
c1340,0,67
c1341,0,21
c1342,0,8
c1343,0,49
c1344,0,3
c1345,0,4
c1346,0,7
c1347,0,22
c1348,0,24
c1349,0,56
c1350,0,15
c1351,0,19
c1352,0,23
c1353,0,8
c1354,0,10
c1355,0,39
c1356,0,14
c1357,0,1
c1358,0,6
c1359,0,2
c1360,0,20
c1361,0,10
c1362,0,29
c1363,0,53
c1364,0,58
c1365,0,6
c1366,0,17
c1367,0,3
