client,cohort,value
c1,0,5
c2,0,23
c3,0,6
c4,0,19
c5,0,9
c6,0,23
c7,0,12
c8,0,10
c9,0,27
c10,0,4
c11,0,5
c12,0,24
c13,0,18
c14,0,21
c15,0,30
c16,0,4
c17,0,5
c18,0,6
c19,0,4
c20,0,43
c21,0,22
c22,0,8
c23,0,15
c24,0,1
c25,0,8
c26,0,2
c27,0,15
c28,0,17
c29,0,8
c30,0,51
c31,0,3
c32,0,41
c33,0,66
c34,0,33
c35,0,17
c36,0,18
c37,0,11
c38,0,69
c39,0,2
c40,0,33
c41,0,19
c42,0,21
c43,0,33
c44,0,1
c45,0,30
c46,0,14
c47,0,23
c48,0,8
c49,0,13
c50,0,20
c51,0,26
c52,0,8
c53,0,19
c54,0,5
c55,0,1
c56,0,26
c57,0,3
c58,0,17
c59,0,15
c60,0,43
c61,0,1
c62,0,8
c63,0,1
c64,0,53
c65,0,14
c66,0,36
c67,0,1
c68,0,12
c69,0,90
c70,0,4
c71,0,14
c72,0,18
c73,0,65
c74,0,5
c75,0,8
c76,0,6
c77,0,49
c78,0,15
c79,0,58
c80,0,16
c81,0,12
c82,0,5
c83,0,8
c84,0,8
c85,0,40
c86,0,5
c87,0,25
c88,0,11
c89,0,54
c90,0,8
c91,0,33
c92,0,8
c93,0,40
c94,0,6
c95,0,82
c96,0,25
c97,0,47
c98,0,12
c99,0,6
c100,0,20
c101,0,70
c102,0,10
c103,0,2
c104,0,30
c105,0,28
c106,0,30
c107,0,10
c108,0,40
c109,0,22
c110,0,9
c111,0,42
c112,0,6
c113,0,27
c114,0,4
c115,0,3
c116,0,22
c117,0,4
c118,0,13
c119,0,15
c120,0,9
c121,0,96
c122,0,35
c123,0,4
c124,0,20
c125,0,92
c126,0,22
c127,0,46
c128,0,32
c129,0,9
c130,0,31
c131,0,5
c132,0,55
c133,0,4
c134,0,22
c135,0,29
c136,0,57
c137,0,35
c138,0,7
c139,0,15
c140,0,11
c141,0,25
c142,0,8
c143,0,15
c144,0,13
c145,0,3
c146,0,8
c147,0,46
c148,0,7
c149,0,20
c150,0,5
c151,0,10
c152,0,17
c153,0,72
c154,0,19
c155,0,7
c156,0,64
c157,0,31
c158,0,5
c159,0,30
c160,0,15
c161,0,29
c162,0,21
c163,0,23
c164,0,41
c165,0,26
c166,0,11
c167,0,1
c168,0,7
c169,0,13
c170,0,5
c171,0,6
c172,0,56
c173,0,66
c174,0,6
c175,0,2
c176,0,30
c177,0,6
c178,0,17
c179,0,15
c180,0,13
c181,0,2
c182,0,18
c183,0,7
c184,0,19
c185,0,4
c186,0,3
c187,0,13
c188,0,5
c189,0,13
c190,0,6
c191,0,10
c192,0,13
c193,0,5
c194,0,4
c195,0,65
c196,0,4
c197,0,4
c198,0,2
c199,0,13
c200,0,3
c201,0,45
c202,0,4
c203,0,13
c204,0,31
c205,0,17
c206,0,19
c207,0,9
c208,0,10
c209,0,5
c210,0,9
c211,0,41
c212,0,4
c213,0,17
c214,0,11
c215,0,28
c216,0,86
c217,0,2
c218,0,6
c219,0,22
c220,0,3
c221,0,1
c222,0,7
c223,0,44
c224,0,22
c225,0,47
c226,0,30
c227,0,7
c228,0,8
c229,0,52
c230,0,45
c231,0,81
c232,0,4
c233,0,15
c234,0,45
c235,0,9
c236,0,29
c237,0,40
c238,0,24
c239,0,31
c240,0,3
c241,0,35
c242,0,55
c243,0,12
c244,0,12
c245,0,5
c246,0,15
c247,0,21
c248,0,13
c249,0,22
c250,0,2
c251,0,7
c252,0,19
c253,0,1
c254,0,24
c255,0,12
c256,0,19
c257,0,8
c258,0,5
c259,0,3
c260,0,41
c261,0,16
c262,0,23
c263,0,12
c264,0,14
c265,0,14
c266,0,25
c267,0,23
c268,0,7
c269,0,49
c270,0,20
c271,0,29
c272,0,5
c273,0,5
c274,0,3
c275,0,1
c276,0,2
c277,0,18
c278,0,8
c279,0,27
c280,0,11
c281,0,10
c282,0,6
c283,0,58
c284,0,17
c285,0,12
c286,0,24
c287,0,20
c288,0,58
c289,0,23
c290,0,14
c291,0,12
c292,0,23
c293,0,30
c294,0,3
c295,0,47
c296,0,9
c297,0,26
c298,0,10
c299,0,25
c300,0,100
c301,0,18
c302,0,6
c303,0,66
c304,0,10
c305,0,12
c306,0,46
c307,0,10
c308,0,47
c309,0,6
c310,0,27
c311,0,15
c312,0,78
c313,0,9
c314,0,12
c315,0,22
c316,0,19
c317,0,6
c318,0,24
c319,0,37
c320,0,2
c321,0,18
c322,0,7
c323,0,1
c324,0,1
c325,0,17
c326,0,13
c327,0,17
c328,0,4
c329,0,15
c330,0,44
c331,0,17
c332,0,13
c333,0,6
c334,0,7
c335,0,23
c336,0,15
c337,0,8
c338,0,11
c339,0,51
c340,0,2
c341,0,5
c342,0,20
c343,0,46
c344,0,18
c345,0,24
c346,0,9
c347,0,18
c348,0,19
c349,0,2
c350,0,40
c351,0,32
c352,0,9
c353,0,37
c354,0,20
c355,0,10
c356,0,4
c357,0,5
c358,0,10
c359,0,2
c360,0,31
c361,0,6
c362,0,37
c363,0,45
c364,0,30
c365,0,59
c366,0,21
c367,0,5
c368,0,4
c369,0,2
c370,0,7
c371,0,22
c372,0,17
c373,0,24
c374,0,13
c375,0,37
c376,0,86
c377,0,80
c378,0,14
c379,0,4
c380,0,17
c381,0,8
c382,0,14
c383,0,3
c384,0,48
c385,0,13
c386,0,24
c387,0,6
c388,0,1
c389,0,13
c390,0,12
c391,0,26
c392,0,82
c393,0,2
c394,0,39
c395,0,8
c396,0,65
c397,0,2
c398,0,17
c399,0,11
c400,0,7
c401,0,12
c402,0,3
c403,0,21
c404,0,26
c405,0,11
c406,0,21
c407,0,3
c408,0,1
c409,0,26
c410,0,16
c411,0,15
c412,0,45
c413,0,28
c414,0,14
c415,0,12
c416,0,13
c417,0,11
c418,0,17
c419,0,7
c420,0,8
c421,0,17
c422,0,71
c423,0,20
c424,0,20
c425,0,2
c426,0,1
c427,0,4
c428,0,9
c429,0,10
c430,0,48
c431,0,4
c432,0,12
c433,0,20
c434,0,50
c435,0,9
c436,0,6
c437,0,2
c438,0,1
c439,0,14
c440,0,12
c441,0,28
c442,0,13
c443,0,3
c444,0,21
c445,0,14
c446,0,40
c447,0,5
c448,0,20
c449,0,20
c450,0,6
c451,0,11
c452,0,23
c453,0,16
c454,0,11
c455,0,1
c456,0,7
c457,0,25
c458,0,1
c459,0,33
c460,0,3
c461,0,58
c462,0,18
c463,0,32
c464,0,18
c465,0,17
c466,0,1
c467,0,28
c468,0,18
c469,0,2
c470,0,39
c471,0,4
c472,0,17
c473,0,20
c474,0,25
c475,0,23
c476,0,24
c477,0,6
c478,0,42
c479,0,29
c480,0,14
c481,0,10
c482,0,30
c483,0,39
c484,0,16
c485,0,35
c486,0,26
c487,0,34
c488,0,18
c489,0,19
c490,0,7
c491,0,10
c492,0,4
c493,0,3
c494,0,23
c495,0,8
c496,0,2
c497,0,6
c498,0,16
c499,0,24
c500,0,4
c501,0,12
c502,0,47
c503,0,12
c504,0,34
c505,0,7
c506,0,7
c507,0,5
c508,0,29
c509,0,14
c510,0,28
c511,0,17
c512,0,22
c513,0,10
c514,0,49
c515,0,38
c516,0,31
c517,0,63
c518,0,9
c519,0,25
c520,0,52
c521,0,8
c522,0,41
c523,0,12
c524,0,40
c525,0,10
c526,0,29
c527,0,36
c528,0,30
c529,0,4
c530,0,18
c531,0,24
c532,0,4
c533,0,6
c534,0,18
c535,0,50
c536,0,6
c537,0,2
c538,0,8
c539,0,2
c540,0,84
c541,0,22
c542,0,19
c543,0,13
c544,0,2
c545,0,18
c546,0,8
c547,0,66
c548,0,4
c549,0,21
c550,0,33
c551,0,8
c552,0,17
c553,0,28
c554,0,56
c555,0,14
c556,0,5
c557,0,8
c558,0,8
c559,0,23
c560,0,28
c561,0,20
c562,0,32
c563,0,1
c564,0,19
c565,0,17
c566,0,20
c567,0,8
c568,0,7
c569,0,29
c570,0,10
c571,0,2
c572,0,5
