client,cohort,value
c1,0,60
c2,0,39
c3,0,40
c4,0,52
c5,0,76
c6,0,58
c7,0,55
c8,0,50
c9,0,56
c10,0,44
c11,0,61
c12,0,24
c13,0,70
c14,0,63
c15,0,56
c16,0,80
c17,0,27
c18,0,64
c19,0,64
c20,0,18
c21,0,63
c22,0,55
c23,0,38
c24,0,37
c25,0,72
c26,0,20
c27,0,59
c28,0,32
c29,0,53
c30,0,67
c31,0,39
c32,0,56
c33,0,44
c34,0,71
c35,0,35
c36,0,75
c37,0,64
c38,0,55
c39,0,47
c40,0,53
c41,0,50
c42,0,54
c43,0,38
c44,0,57
c45,0,33
c46,0,39
c47,0,45
c48,0,95
c49,0,70
c50,0,71
c51,0,65
c52,0,54
c53,0,43
c54,0,44
c55,0,68
c56,0,43
c57,0,55
c58,0,18
c59,0,66
c60,0,31
c61,0,39
c62,0,88
c63,0,52
c64,0,46
c65,0,45
c66,0,34
c67,0,37
c68,0,56
c69,0,48
c70,0,65
c71,0,57
c72,0,60
c73,0,25
c74,0,87
c75,0,63
c76,0,48
c77,0,40
c78,0,62
c79,0,33
c80,0,40
c81,0,46
c82,0,60
c83,0,52
c84,0,44
c85,0,47
c86,0,39
c87,0,48
c88,0,58
c89,0,16
c90,0,32
c91,0,37
c92,0,56
c93,0,81
c94,0,48
c95,0,64
c96,0,54
c97,0,26
c98,0,59
c99,0,41
c100,0,63
c101,0,65
c102,0,46
c103,0,51
c104,0,54
c105,0,14
c106,0,37
c107,0,55
c108,0,49
c109,0,42
c110,0,13
c111,0,70
c112,0,72
c113,0,63
c114,0,57
c115,0,45
c116,0,19
c117,0,67
c118,0,44
c119,0,50
c120,0,23
c121,0,50
c122,0,49
c123,0,27
c124,0,74
c125,0,17
c126,0,53
c127,0,31
c128,0,81
c129,0,70
c130,0,69
c131,0,59
c132,0,37
c133,0,91
c134,0,40
c135,0,65
c136,0,53
c137,0,64
c138,0,49
c139,0,60
c140,0,44
c141,0,59
c142,0,38
c143,0,38
c144,0,78
c145,0,70
c146,0,46
c147,0,31
c148,0,58
c149,0,69
c150,0,28
c151,0,67
c152,0,75
c153,0,40
c154,0,42
c155,0,54
c156,0,78
c157,0,45
c158,0,41
c159,0,38
c160,0,53
c161,0,42
c162,0,38
c163,0,37
c164,0,54
c165,0,41
c166,0,57
c167,0,30
c168,0,71
c169,0,56
c170,0,63
c171,0,40
c172,0,27
c173,0,50
c174,0,45
c175,0,48
c176,0,64
c177,0,41
c178,0,50
c179,0,42
c180,0,27
c181,0,53
c182,0,12
c183,0,42
c184,0,44
c185,0,51
c186,0,35
c187,0,53
c188,0,41
c189,0,49
c190,0,63
c191,0,29
c192,0,38
c193,0,63
c194,0,71
c195,0,59
c196,0,55
c197,0,44
c198,0,50
c199,0,66
c200,0,56
c201,0,52
c202,0,67
c203,0,61
c204,0,55
c205,0,23
c206,0,41
c207,0,65
c208,0,58
c209,0,55
c210,0,10
c211,0,64
c212,0,42
c213,0,64
c214,0,22
c215,0,69
c216,0,41
c217,0,54
c218,0,56
c219,0,52
c220,0,58
c221,0,67
c222,0,38
c223,0,22
c224,0,20
c225,0,70
c226,0,67
c227,0,54
c228,0,68
c229,0,11
c230,0,61
c231,0,32
c232,0,25
c233,0,43
c234,0,58
c235,0,53
c236,0,31
c237,0,40
c238,0,21
c239,0,71
c240,0,48
c241,0,78
c242,0,47
c243,0,74
c244,0,43
c245,0,66
c246,0,72
c247,0,63
c248,0,54
c249,0,39
c250,0,60
c251,0,44
c252,0,35
c253,0,38
c254,0,69
c255,0,54
c256,0,42
c257,0,64
c258,0,49
c259,0,50
c260,0,55
c261,0,51
c262,0,43
c263,0,44
c264,0,42
c265,0,61
c266,0,45
c267,0,25
c268,0,61
c269,0,41
c270,0,47
c271,0,43
c272,0,43
c273,0,35
c274,0,69
c275,0,39
c276,0,66
c277,0,52
c278,0,39
c279,0,68
c280,0,17
c281,0,47
c282,0,71
c283,0,21
c284,0,29
c285,0,72
c286,0,67
c287,0,64
c288,0,19
c289,0,49
c290,0,25
c291,0,47
c292,0,48
c293,0,46
c294,0,96
c295,0,61
c296,0,26
c297,0,64
c298,0,21
c299,0,41
c300,0,61
c301,0,40
c302,0,38
c303,0,36
c304,0,61
c305,0,79
c306,0,55
c307,0,63
c308,0,57
c309,0,45
c310,0,80
c311,0,33
c312,0,50
c313,0,39
c314,0,68
c315,0,76
c316,0,73
c317,0,37
c318,0,68
c319,0,47
c320,0,36
c321,0,35
c322,0,51
c323,0,62
c324,0,35
c325,0,65
c326,0,43
c327,0,47
c328,0,52
c329,0,25
c330,0,43
c331,0,40
c332,0,59
c333,0,38
c334,0,73
c335,0,45
c336,0,73
c337,0,78
c338,0,39
c339,0,37
c340,0,27
c341,0,48
c342,0,63
c343,0,45
c344,0,33
c345,0,62
c346,0,75
c347,0,57
c348,0,49
c349,0,60
c350,0,65
c351,0,64
c352,0,58
c353,0,43
c354,0,40
c355,0,66
c356,0,52
c357,0,56
c358,0,40
c359,0,49
c360,0,62
c361,0,49
c362,0,46
c363,0,44
c364,0,54
c365,0,51
c366,0,40
c367,0,52
c368,0,67
c369,0,52
c370,0,41
c371,0,39
c372,0,51
c373,0,35
c374,0,74
c375,0,36
c376,0,54
c377,0,18
c378,0,57
c379,0,57
c380,0,51
c381,0,21
c382,0,23
c383,0,75
c384,0,65
c385,0,49
c386,0,34
c387,0,61
c388,0,26
c389,0,54
c390,0,66
c391,0,45
c392,0,18
c393,0,40
c394,0,71
c395,0,38
c396,0,63
c397,0,54
c398,0,34
c399,0,31
c400,0,17
c401,0,40
c402,0,59
c403,0,35
c404,0,81
c405,0,49
c406,0,86
c407,0,55
c408,0,66
c409,0,36
c410,0,46
c411,0,86
c412,0,50
c413,0,60
c414,0,80
c415,0,24
c416,0,46
c417,0,49
c418,0,51
c419,0,62
c420,0,59
c421,0,58
c422,0,77
c423,0,40
c424,0,44
c425,0,59
c426,0,42
c427,0,27
c428,0,47
c429,0,63
c430,0,50
c431,0,82
c432,0,37
c433,0,49
c434,0,66
c435,0,55
c436,0,72
c437,0,64
c438,0,53
c439,0,44
c440,0,46
c441,0,50
c442,0,69
c443,0,65
c444,0,25
c445,0,75
c446,0,76
c447,0,60
c448,0,45
c449,0,66
c450,0,67
c451,0,47
c452,0,17
c453,0,35
c454,0,29
c455,0,9
c456,0,40
c457,0,62
c458,0,53
c459,0,59
c460,0,43
c461,0,42
c462,0,46
c463,0,41
c464,0,36
c465,0,40
c466,0,41
c467,0,31
c468,0,70
c469,0,52
c470,0,47
c471,0,49
c472,0,37
c473,0,29
c474,0,64
c475,0,45
c476,0,71
c477,0,51
c478,0,42
c479,0,60
c480,0,23
c481,0,77
c482,0,53
c483,0,43
c484,0,66
c485,0,43
c486,0,45
c487,0,35
c488,0,61
c489,0,61
c490,0,73
c491,0,60
c492,0,52
c493,0,77
c494,0,48
c495,0,25
c496,0,38
c497,0,65
c498,0,56
c499,0,23
c500,0,52
c501,0,58
c502,0,19
c503,0,40
c504,0,37
c505,0,59
c506,0,3
c507,0,18
c508,0,41
c509,0,68
c510,0,67
c511,0,19
c512,0,45
c513,0,62
c514,0,92
c515,0,50
c516,0,8
c517,0,14
c518,0,42
c519,0,45
c520,0,39
c521,0,51
c522,0,44
c523,0,70
c524,0,62
c525,0,28
c526,0,70
c527,0,43
c528,0,27
c529,0,49
c530,0,80
c531,0,56
c532,0,81
c533,0,54
c534,0,38
c535,0,40
c536,0,47
c537,0,64
c538,0,42
c539,0,61
c540,0,38
